Rank,Player,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
1,Giannis Antetokounmpo,MIL,PF,5,37.6,33.0,12.0,19.8,60.6,0.2,1.0,20.0,8.8,12.6,69.8,15.4,6.6,1.0,1.0,4.6,5,1
2,Luka Doncic,LAL,PG,5,41.6,30.2,9.4,20.8,45.2,3.2,9.2,34.8,8.2,9.2,89.1,7.0,5.8,1.0,0.6,4.0,1,0
3,Jalen Brunson,NY,PG,15,38.3,29.9,10.1,22.5,45.0,2.7,7.6,35.1,6.9,8.2,84.6,3.5,7.3,0.4,0.2,2.9,3,0
4,Donovan Mitchell,CLE,SG,9,32.0,29.6,9.6,21.6,44.3,3.1,9.3,33.3,7.3,9.9,74.2,4.7,3.9,1.9,0.3,1.9,0,0
5,Shai Gilgeous-Alexander,OKC,PG,15,36.7,29.5,9.9,21.4,46.4,1.5,5.1,28.9,8.1,9.5,85.3,5.6,6.9,1.5,0.6,2.3,3,0
6,Paolo Banchero,ORL,PF,5,39.4,29.4,10.8,24.8,43.5,2.4,5.4,44.4,5.4,8.2,65.9,8.4,4.2,0.6,0.8,3.0,1,0
7,Jayson Tatum,BOS,SF,8,40.3,28.1,9.3,21.9,42.3,3.6,9.8,37.2,6.0,6.8,88.9,11.5,5.4,2.1,0.8,3.3,5,0
8,Nikola Jokic,DEN,C,14,40.2,26.2,9.4,19.1,48.9,1.9,5.1,38.0,5.6,7.2,77.2,12.7,8.0,2.0,0.9,3.9,11,3
9,Franz Wagner,ORL,SF,5,39.0,25.8,10.2,23.0,44.3,1.4,7.4,18.9,4.0,5.2,76.9,4.8,5.6,1.2,0.4,2.0,0,0
10,Anthony Edwards,MIN,SG,14,39.0,25.8,9.1,20.0,45.7,3.2,8.8,36.6,4.3,5.9,72.3,7.9,5.7,1.2,0.7,2.6,3,0
11,LeBron James,LAL,SF,5,40.8,25.4,8.6,17.6,48.9,2.0,5.6,35.7,6.2,8.0,77.5,9.0,5.6,2.0,1.8,2.6,3,0
12,Kawhi Leonard,LAC,SF,7,37.9,25.0,9.4,17.6,53.7,2.1,5.3,40.5,4.0,5.1,77.8,7.6,4.7,1.1,0.7,2.1,3,0
13,Cade Cunningham,DET,PG,6,41.3,25.0,9.2,21.5,42.6,0.8,4.7,17.9,5.8,7.0,83.3,8.3,8.7,1.8,1.3,5.3,4,1
14,Stephen Curry,GS,PG,8,35.1,22.6,7.8,16.3,47.7,4.0,10.0,40.0,3.1,3.5,89.3,5.3,5.1,1.0,0.8,3.4,1,0
15,Jaylen Brown,BOS,SG,11,36.5,22.1,7.8,17.7,44.1,1.9,5.7,33.3,4.5,6.0,75.8,7.1,3.9,1.0,0.3,3.5,3,0
16,Jamal Murray,DEN,PG,14,41.3,21.8,7.9,17.9,44.4,2.4,6.9,35.4,3.5,4.0,87.5,4.9,5.2,1.2,0.8,3.1,0,0
17,Julius Randle,MIN,PF,14,35.9,21.6,7.6,15.4,49.8,1.9,5.1,36.1,4.4,5.0,88.6,5.9,5.1,0.8,0.1,3.2,2,1
18,Karl-Anthony Towns,NY,C,15,35.2,21.1,7.5,15.4,48.9,1.6,4.3,37.5,4.4,4.9,90.4,11.3,1.1,0.7,0.8,2.1,10,0
19,Alperen Sengun,HOU,C,7,36.6,20.9,8.4,18.7,45.0,0.4,1.1,37.5,3.6,5.7,62.5,11.9,5.3,1.9,0.4,2.1,5,0
20,Jalen Williams,OKC,F,15,34.7,20.5,7.7,17.0,45.5,1.7,5.4,32.1,3.3,4.3,76.9,5.6,5.3,1.7,0.5,1.5,1,0
