Rank,Player,Team,GP,PPG,RPG,APG
1,Giannis Antetokounmpo,MIL,5,33.0,15.4,6.6
2,Luka Doncic,LAL,5,30.2,7.0,5.8
3,Jalen Brunson,NY,15,29.9,3.5,7.3
4,Donovan Mitchell,CLE,9,29.6,4.7,3.9
5,Shai Gilgeous-Alexander,OKC,15,29.5,5.6,6.9
6,Paolo Banchero,ORL,5,29.4,8.4,4.2
7,Jayson Tatum,BOS,8,28.1,11.5,5.4
8,Nikola Jokic,DEN,14,26.2,12.7,8.0
9,Franz Wagner,ORL,5,25.8,4.8,5.6
10,Anthony Edwards,MIN,14,25.8,7.9,5.7
11,LeBron James,LAL,5,25.4,9.0,5.6
12,Kawhi Leonard,LAC,7,25.0,7.6,4.7
13,Cade Cunningham,DET,6,25.0,8.3,8.7
14,Stephen Curry,GS,8,22.6,5.3,5.1
15,Jaylen Brown,BOS,11,22.1,7.1,3.9
16,Jamal Murray,DEN,14,21.8,4.9,5.2
17,Julius Randle,MIN,14,21.6,5.9,5.1
18,Karl-Anthony Towns,NY,15,21.1,11.3,1.1
19,Alperen Sengun,HOU,7,20.9,11.9,5.3
20,Jalen Williams,OKC,15,20.5,5.6,5.3
21,Pascal Siakam,IND,13,20.1,5.8,3.2
22,Jimmy Butler III,GS,11,19.2,6.6,5.2
23,Derrick White,BOS,11,18.8,5.1,3.5
24,James Harden,LAC,7,18.7,5.4,9.1
25,Fred VanVleet,HOU,7,18.7,4.1,4.4
26,Tyrese Haliburton,IND,13,18.5,5.5,9.4
27,Ivica Zubac,LAC,7,17.4,10.1,2.3
28,Evan Mobley,CLE,8,17.1,8.1,1.6
29,Myles Turner,IND,13,16.5,5.5,1.5
30,Aaron Gordon,DEN,14,16.2,7.6,2.7
31,Chet Holmgren,OKC,15,16.1,8.7,1.2
32,Norman Powell,LAC,7,16.0,2.4,2.4
33,OG Anunoby,NY,15,15.8,4.7,1.3
34,Mikal Bridges,NY,15,15.7,4.9,2.8
35,Amen Thompson,HOU,7,15.7,6.9,3.3
36,Jaden McDaniels,MIN,14,15.4,5.6,1.6
37,Jonathan Kuminga,GS,8,15.3,2.5,1.3
38,Aaron Nesmith,IND,13,15.1,6.2,1.3
39,Andrew Nembhard,IND,13,14.0,3.5,5.3
40,Jarrett Allen,CLE,9,13.4,8.4,1.3
41,Christian Braun,DEN,14,10.4,4.7,1.8
42,Buddy Hield,GS,12,12.5,3.5,1.8
43,Josh Hart,NY,15,12.0,8.7,4.9
44,Payton Pritchard,BOS,11,11.9,2.3,1.5
45,Russell Westbrook,DEN,13,11.7,3.7,2.6
46,Ty Jerome,CLE,9,11.7,2.4,3.6
47,Max Strus,CLE,9,11.7,5.7,3.9
48,Brandin Podziemski,GS,12,11.3,5.0,3.1
49,Naz Reid,MIN,14,10.4,4.7,1.8
50,Isaiah Hartenstein,OKC,15,9.3,8.1,2.3
