Rank,Player,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
1,Giannis Antetokounmpo,MIL,PF,5,37.6,33.0,12.0,19.8,60.6,0.2,1.0,20.0,8.8,12.6,69.8,15.4,6.6,1.0,1.0,4.6,5,1
2,Luka Doncic,LAL,PG,5,41.6,30.2,9.4,20.8,45.2,3.2,9.2,34.8,8.2,9.2,89.1,7.0,5.8,1.0,0.6,4.0,1,0
3,Jalen Brunson,NY,PG,15,38.3,29.9,10.1,22.5,45.0,2.7,7.6,35.1,6.9,8.2,84.6,3.5,7.3,0.4,0.2,2.9,3,0
4,Donovan Mitchell,CLE,SG,9,32.0,29.6,9.6,21.6,44.3,3.1,9.3,33.3,7.3,9.9,74.2,4.7,3.9,1.9,0.3,1.9,0,0
5,Shai Gilgeous-Alexander,OKC,PG,15,36.7,29.5,9.9,21.4,46.4,1.5,5.1,28.9,8.1,9.5,85.3,5.6,6.9,1.5,0.6,2.3,3,0
6,Paolo Banchero,ORL,PF,5,39.4,29.4,10.8,24.8,43.5,2.4,5.4,44.4,5.4,8.2,65.9,8.4,4.2,0.6,0.8,3.0,1,0
7,Jayson Tatum,BOS,SF,8,40.3,28.1,9.3,21.9,42.3,3.6,9.8,37.2,6.0,6.8,88.9,11.5,5.4,2.1,0.8,3.3,5,0
8,Nikola Jokic,DEN,C,14,40.2,26.2,9.4,19.1,48.9,1.9,5.1,38.0,5.6,7.2,77.2,12.7,8.0,2.0,0.9,3.9,11,3
9,Franz Wagner,ORL,SF,5,39.0,25.8,10.2,23.0,44.3,1.4,7.4,18.9,4.0,5.2,76.9,4.8,5.6,1.2,0.4,2.0,0,0
10,Anthony Edwards,MIN,SG,14,39.0,25.8,9.1,20.0,45.7,3.2,8.8,36.6,4.3,5.9,72.3,7.9,5.7,1.2,0.7,2.6,3,0
